number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
3 rooms ;; Apartment;;1202 Genève;Spacious, bright living room;Close to shops and schools;Convenient public transport access;CHF 2,640.-;—
5 rooms ; 115 m_ ; Apartment;;1209 Genève;Spacious 115 m2 layout;Equipped modern kitchen;Sunny balcony for relaxation;CHF 3,400.-;CHF 355 / m_ / year
3 rooms ;; Apartment;;1202 Genève;Bright living room space;Cozy balcony for relaxation;Convenient Servette location;CHF 1,870.-;—
1.5 rooms ;; Apartment;;1205 Genève;Bright living space;Convenient location;Includes a cellar;CHF 893.-;—
3.5 rooms ; 64 m_ ; Apartment;;1205 Genève;Bright living room;Equipped kitchen;Versatile half-room;CHF 2,350.-;CHF 441 / m_ / year
5 rooms ; 125 m_ ; Apartment;Avenue De Châtelaine; 1203 Genève;Spacious 125 m_ layout;Inviting balcony space;Convenient visitor WC;CHF 3,900.-;CHF 374 / m_ / year
5.5 rooms ; 123 m_ ; Apartment;Avenue De La Gare-Des-Eaux-Vives; 1207 Genève;Stunning lake views;Modern open-plan design;Prime location near transport;CHF 4,950.-;CHF 483 / m_ / year
3 rooms ; 58 m_ ; Apartment;;1206 Genève;Equipped kitchen included;Bright living area;Convenient cellar storage;CHF 2,210.-;CHF 457 / m_ / year
4 rooms ; 90 m_ ; Apartment;;1203 Genève;Spacious 90 m2 layout;Inviting balcony space;Located in Charmilles area;CHF 3,000.-;CHF 400 / m_ / year
1 room ; 90 m_ ; Apartment;Rue Jean-Robert- Chouet; 1202 Genève;Bright living area;Modern kitchen design;Close to public transport;CHF 1,250.-;CHF 167 / m_ / year
6 rooms ;; Apartment;;1206 Genève;Spacious 140 m_ layout;Equipped modern kitchen;Bright living area;CHF 4,700.-;—
5 rooms ;; Apartment;;1206 Genève;Spacious entry hall;Three sunny balconies;Equipped modern kitchen;CHF 3,255.-;—
17 m_ ;; Apartment;Rue Du Rhône 57; 1204 Genève;Exceptional lake visibility;Highly frequented tourist area;Dimensions: 17m x 1.6m;CHF 3,330.-;CHF 2,351 / m_ / year
24 m_ ;; Apartment;Rue Goetz-Monin; 1205 Genève;Sunny location;Quiet environment;Near public transport;CHF 2,540.-;CHF 1,270 / m_ / year
5 rooms ; 138 m_ ; Apartment;Avenue De-Budé; 1202 Genève;Luxury apartment near Geneva Airport;Two swimming pools and rooftop terrace;Balconies accessible from all rooms;CHF 5,000.-;CHF 435 / m_ / year
4 rooms ; 100 m_ ; Furnished apartment;Avenue de la Forêt; 1202 Genève;Spacious balcony;Fully equipped kitchen;Shared laundry;CHF 2,950.-;CHF 354 / m_ / year
2 rooms ;; Apartment;Rue Du Prieuré; 1202 Genève;Central location, near station and lake;Private balcony;Cellar included;CHF 1,350.-;—
4 rooms ; 135 m_ ; Penthouse;Rue De Saint-Jean 32a; 1203 Genève;Spacious, bright living room;Open, equipped kitchen;Stunning Rhône views;CHF 4,990.-;CHF 444 / m_ / year
3 rooms ; 65 m_ ; Apartment;;1204 Genève;Charming old town apartment;Completely renovated;Stunning panoramic view;CHF 3,349.-;CHF 618 / m_ / year
4 rooms ; 60 m_ ; Apartment;Route Des Acacias 20; 1227 Les Acacias;City center, near shops;Bright duplex, 60m2;Balcony and fitted kitchen;CHF 2,150.-;CHF 430 / m_ / year
4 rooms ; 64 m_ ; Apartment;;1203 Genève;Very pleasant layout;Bright and cozy rooms;Washing machine connection;CHF 2,400.-;CHF 450 / m_ / year
4 rooms ; 124 m_ ; Apartment;;1206 Genève;Equipped kitchen;Two large balconies;Indoor pool;CHF 3,635.-;CHF 352 / m_ / year
7 rooms ; 178 m_ ; Apartment;Rue Du Rhône 57; 1204 Genève;Stunning lake view;Recently renovated;Prime location;CHF 8,385.-;CHF 565 / m_ / year
2.5 rooms ; 50 m_ ; Furnished apartment;Rue Beau-Site 6; 1203 Genève;Furnished and modern;Bright living spaces;Bathroom with laundry;CHF 2,480.-;CHF 595 / m_ / year
3 rooms ; 70 m_ ; Apartment;;1205 Genève;Heart of Geneva, perfect location;Bedroom with ensuite bathroom;Bright open-plan kitchen;CHF 3,200.-;CHF 549 / m_ / year
4 rooms ; 105 m_ ; Apartment;Chemin De-Roches 5; 1208 Genève;High ceilings & character;Modern fitted kitchen;Near public transport;CHF 3,970.-;CHF 454 / m_ / year
6 rooms ; 300 m_ ; Apartment;;1201 Genève;Stunning Jet d'Eau view;High-end finishes;Central location;CHF 8,000.-;CHF 320 / m_ / year
45 m_ ;; Apartment;Rue De-Monthoux 36; 1201 Genève;Fully furnished;Air conditioning;Near university;CHF 1,250.-;CHF 333 / m_ / year
3 rooms ; 65 m_ ; Apartment;Rue Daubin 4; 1203 Genève;Elegant furnished apartment;Stunning city view;Outdoor parking space;CHF 1,870.-;CHF 345 / m_ / year
5 rooms ; 120 m_ ; Apartment;Chemin De La Rochette 9; 1202 Genève;Spacious and bright;Balcony access from all rooms;Fully equipped kitchen;CHF 4,267.-;CHF 426 / m_ / year
4 rooms ;; Apartment;;1206 Genève;Large 320m2 garden;Quiet residential area;Near shops & transport;CHF 4,440.-;—
1.5 rooms ; 25 m_ ; Apartment;Rue Etienne- Dumont 5; 1204 Genève;Historic Old Town location;Charming cobblestone street view;Modern amenities;CHF 1,835.-;CHF 881 / m_ / year
2 rooms ;; Apartment;Route De Malagnou 34; 1208 Genève;Sunny balcony;Quiet area;Near city center;CHF 2,700.-;—
2 rooms ; 32 m_ ; Apartment;Rue Zurlinden; 1207 Genève;Near Lake Geneva;Private balcony;Secure building with elevator;CHF 1,650.-;CHF 619 / m_ / year
4 rooms ; 123 m_ ; Apartment;;1205 Genève;Panoramic view;Sought-after area;Near city center;CHF 4,620.-;CHF 451 / m_ / year
6 rooms ; 130 m_ ; Apartment;;1206 Genève;Sought-after Geneva district;3 balconies with a view;Modern fitted kitchen;CHF 4,152.-;CHF 383 / m_ / year
5.5 rooms ; 148 m_ ; Apartment;Place Edouard- Claparède 1; 1205 Genève;Near Parc Bertrand;Fully renovated;Double living room;CHF 4,980.-;CHF 404 / m_ / year
1.5 rooms ; 24 m_ ; Apartment;Rue De La Servette 76; 1202 Genève;Charming studio apartment;Fully equipped kitchen;Lively neighborhood;CHF 1,840.-;CHF 920 / m_ / year
1.5 rooms ; 24 m_ ; Apartment;Rue Lamartine 24; 1203 Genève;Servette neighborhood;Secure entry;Elevator, laundry room;CHF 1,300.-;CHF 650 / m_ / year
45 rooms ; 93 m_ ; Apartment;;1205 Genève;Bright and spacious layout;Quiet and central location;Close to public transport;CHF 2,925.-;CHF 377 / m_ / year
3 rooms ; 49 m_ ; Apartment;Rue du 31 Décembre 26; 1207 Genève;Heart of Eaux-Vives;Close to public transport;Near Lake Geneva;CHF 2,280.-;CHF 558 / m_ / year
5.5 rooms ; 137 m_ ; Apartment;Route de Chêne; 1208 Genève;Close to parks and lake;International school nearby;Tram stop just 20m away;CHF 4,750.-;CHF 416 / m_ / year
6.5 rooms ; 170 m_ ; Apartment;Avenue Alfred- Bertrand 3; 1206 Genève;Spacious entrance hall;Double living room with balcony;Fully equipped modern kitchen;CHF 7,070.-;CHF 499 / m_ / year
1.5 rooms ; 30 m_ ; Apartment;;1204 Genève;Equipped kitchen;Bright living space;Elevator access;CHF 1,742.-;CHF 697 / m_ / year
4.5 rooms ; 88 m_ ; Apartment;Chemin De La Chevillarde 44; 1208 Genève;Modern equipped kitchen;Two sunny balconies;Quiet green neighborhood;CHF 3,514.-;CHF 479 / m_ / year
1 room ; 26 m_ ; Apartment;Quai Du Seujet; 1201 Genève;Stunning Rhône views;Bright communal spaces;Modern co-living concept;CHF 1,880.-;CHF 868 / m_ / year
4 rooms ; 100 m_ ; Apartment;;1202 Genève;Central Geneva location;Equipped kitchen;Balcony & parking;CHF 2,950.-;CHF 354 / m_ / year
3 rooms ; 127 m_ ; Furnished apartment;Rue Des Granges; 1204 Genève;Spacious private terrace;Elegant living area;Fully furnished and equipped;CHF 5,400.-;CHF 510 / m_ / year
5.5 rooms ; 96 m_ ; Apartment;Place Du Cirque 3; 1204 Genève;Central location near amenities;Spacious equipped kitchen;High ceilings in living room;CHF 1,440.-;CHF 180 / m_ / year
3 rooms ; 49 m_ ; Apartment;Rue Pradier; 1201 Genève;Close to Cornavin station;Modern equipped kitchen;Nearby shopping centers;CHF 2,260.-;CHF 553 / m_ / year
4.5 rooms ; 89 m_ ; Apartment;Quai Du Cheval-Blanc 14; 1227 Les Acacias;Renovated with modern decor;Spacious living with balcony;Fully equipped kitchen;CHF 3,500.-;CHF 472 / m_ / year
5 rooms ; 100 m_ ; Apartment;;1204 Genève;Quiet courtyard location;Bright spacious living area;Secure entrance with charm;CHF 4,250.-;CHF 510 / m_ / year
6.5 rooms ; 141 m_ ; Apartment;Rue Liotard; 1202 Genève;Open-plan modern kitchen;Master bedroom with jacuzzi;Close to public transport;CHF 4,600.-;CHF 391 / m_ / year
2.5 rooms ; 42 m_ ; Apartment;Rue Daubin 35; 1203 Genève;42m2 apartment;Equipped kitchen with balcony;Quiet area, near public transport;CHF 1,580.-;CHF 451 / m_ / year
5 rooms ; 100 m_ ; Apartment;Rue Chausse-Coq 10; 1204 Genève;Fully equipped kitchen;Bright and spacious living room;Convenient location near amenities;CHF 4,100.-;CHF 492 / m_ / year
1.5 rooms ; 36 m_ ; Furnished apartment;;1201 Genève;Prime location by the lake;Bright and cozy living space;Fully equipped modern kitchen;CHF 2,070.-;CHF 690 / m_ / year
4.5 rooms ; 110 m_ ; Apartment;;1207 Genève;Steps from Lake Geneva;Spacious living areas;Central Eaux-Vives location;CHF 4,500.-;CHF 491 / m_ / year
2 rooms ; 45 m_ ; Apartment;;1207 Genève;Steps from Lake Geneva;Fully equipped kitchen;Bright and contemporary design;CHF 2,400.-;CHF 640 / m_ / year
75 m_ ;; Furnished apartment;;1204 Genève;Heart of Geneva;Decorative fireplace;Equipped kitchenette;CHF 2,800.-;CHF 448 / m_ / year
4 rooms ; 87 m_ ; Apartment;Chemin Des Tulipiers; 1208 Genève;Spacious balcony;Fully equipped kitchen;Quiet neighborhood;CHF 2,895.-;CHF 399 / m_ / year
3 rooms ; 78 m_ ; Apartment;Parc Du Château-Banquet 26; 1202 Genève;Close to the lake;Spacious 78m2 area;Residential building charm;CHF 2,860.-;CHF 440 / m_ / year
6 rooms ; 190 m_ ; Apartment;Boulevard Helvétique 4; 1205 Genève;Near Old Town;2 balconies;herringbone parquet;CHF 7,100.-;CHF 448 / m_ / year
5 rooms ; 100 m_ ; Apartment;Rue De Hesse 4; 1204 Genève;Historic building charm;High ceilings & moldings;Spacious living area;CHF 4,650.-;CHF 558 / m_ / year
4 rooms ; 74 m_ ; Apartment;Rue De Lyon 25; 1201 Genève;Spacious living room;Close to public transport;Bright, airy bedrooms;CHF 2,920.-;CHF 474 / m_ / year
4 rooms ;; Apartment;;1201 Genève;Stunning panoramic views;Bright open living space;Prime location near amenities;CHF 4,500.-;—
3 rooms ;; Apartment;Chemin Des Clochettes; 1206 Genève;Quiet neighborhood near park;Fully equipped semi-open kitchen;Spacious living area with balcony;CHF 2,760.-;—
7 rooms ; 153 m_ ; Apartment;Rue De Lausanne 137; 1202 Genève;Spacious living area;Quality equipped kitchen;Balcony with lake view;CHF 5,780.-;CHF 455 / m_ / year
7.5 rooms ; 191 m_ ; Apartment;Boulevard Des Philosophes; 1205 Genève;Historic building charm;High ceilings & moldings;Central location amenities;CHF 7,000.-;CHF 440 / m_ / year
5 rooms ; 127 m_ ; Apartment;Chemin Du Petit-Saconnex 28a; 1209 Genève;Rooftop pool access;Bright, spacious living;Quiet, safe location;CHF 5,320.-;CHF 503 / m_ / year
3.5 rooms ; 98 m_ ; Stepped apartment;;1208 Genève;Panoramic terrace 182 m_;High-end kitchen included;Private rooftop pool access;CHF 4,700.-;CHF 576 / m_ / year
4 rooms ; 120 m_ ; Apartment;Avenue Eugène- Pittard 9; 1206 Genève;Bright south-facing rooms;Equipped kitchen with laundry;Balcony with park views;CHF 4,600.-;CHF 460 / m_ / year
4 rooms ; 66 m_ ; Apartment;Avenue Wendt; 1203 Genève;Quiet neighborhood;Modern equipped kitchen;Balcony access from living room;CHF 2,540.-;CHF 462 / m_ / year
5 rooms ; 152 m_ ; Apartment;;1204 Genève;Bright living area;Modern bathrooms;Convenient storage space;CHF 5,825.-;CHF 460 / m_ / year
6 rooms ; 182 m_ ; Apartment;Chemin Des Colombettes 13; 1202 Genève;Spacious with 3 balconies;Elegant living area with fireplace;Prime location near UN offices;CHF 5,800.-;CHF 382 / m_ / year
3.5 rooms ; 98 m_ ; Apartment;Rue Michel- Chauvet 15; 1208 Genève;Stunning city and lake views;Spacious terrace for relaxation;Modern open kitchen design;CHF 4,700.-;CHF 576 / m_ / year
4.5 rooms ; 119 m_ ; Apartment;Rue De La Confédération 6; 1204 Genève;Quiet inner courtyard view;Open fully equipped kitchen;Decorative fireplace in living room;CHF 3,900.-;CHF 393 / m_ / year
4 rooms ; 127 m_ ; Apartment;Rue Des Granges 3; 1204 Genève;Spacious private terrace;Fully equipped kitchen;Heart of the Old Town;CHF 5,000.-;CHF 472 / m_ / year
6 rooms ; 116 m_ ; Apartment;;1206 Genève;Spacious 116 m2 layout;Multiple sunny balconies;Legal long-term subletting;CHF 3,800.-;CHF 393 / m_ / year
3.5 rooms ;; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious entrance hall;Equipped modern kitchen;Sunny balcony for relaxation;CHF 2,650.-;—
5 rooms ; 135 m_ ; Apartment;;1201 Genève;Rooftop communal pool;Quiet leafy environment;Close to public transport;CHF 4,840.-;CHF 430 / m_ / year
7 rooms ; 163 m_ ; Apartment;Route De Frontenex 41a; 1207 Genève;Open-plan modern kitchen;Master bedroom with ensuite;Indoor parking available;CHF 6,000.-;CHF 442 / m_ / year
4 rooms ;; Apartment;;1205 Genève;Elegant living space;High-end kitchen finishes;Close to public transport;CHF 4,700.-;—
5.5 rooms ; 94 m_ ; Apartment;;1208 Genève;Elegant apartment in Malagnou;Two sunny balconies;Fully equipped kitchen;CHF 4,950.-;CHF 632 / m_ / year
6 rooms ; 200 m_ ; Apartment;;1206 Genève;Spacious 20 m2 terrace;Master bedroom with en suite;Close to city center & shops;CHF 7,600.-;CHF 456 / m_ / year
5 rooms ; 200 m_ ; Loft;;1203 Genève;4.30m high ceilings;Private wine cellar;Access to SPA facilities;CHF 6,750.-;CHF 405 / m_ / year
5.5 rooms ; 120 m_ ; Furnished apartment;;1206 Genève;Stylish furnished interior;Sunny terrace with views;Art deco building charm;CHF 5,500.-;CHF 550 / m_ / year
7 rooms ; 280 m_ ; Apartment;Route de Chêne; 1208 Genève;High-end finishes;Spacious balcony;Secure building with lift;CHF 9,095.-;CHF 390 / m_ / year
5 rooms ;; Apartment;;1205 Genève;Fully equipped kitchen;Two bathrooms (shower/tub);In-house laundry;CHF 3,650.-;—
4.5 rooms ;; Apartment;Rue Liotard; 1202 Genève;Historic building charm;Spacious living area;Private balcony retreat;CHF 3,990.-;—
5.5 rooms ; 119 m_ ; Apartment;Avenue De Miremont 13; 1206 Genève;Elegant character building;Spacious living area;Balcony with city views;CHF 4,590.-;CHF 463 / m_ / year
4.5 rooms ; 102 m_ ; Apartment;Avenue De Miremont 15; 1206 Genève;Two sunny balconies;Modern equipped kitchen;Prime location in Champel;CHF 4,950.-;CHF 582 / m_ / year
5 rooms ; 161 m_ ; Apartment;Chemin De La Florence; 1208 Genève;Spacious 98m_ terrace;High-end secure residence;Master suite with dressing;CHF 8,030.-;CHF 599 / m_ / year
7.5 rooms ; 219 m_ ; Apartment;Avenue De Champel 73; 1206 Genève;High ceilings and moldings;Spacious living areas;Balcony access from rooms;CHF 7,880.-;CHF 432 / m_ / year
3 rooms ; 43 m_ ; Apartment;;1203 Genève;Spacious terrace for relaxation;Equipped modern kitchen;Close to transport links;CHF 2,490.-;CHF 695 / m_ / year
