number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
2.5 rooms ; 69 m_ ; Apartment;Rue Edith-Burger 4; 1018 Lausanne;Open kitchen with balcony;New building with elevator;Quick bus access to city;CHF 2,265.-;CHF 394 / m_ / year
4.5 rooms ; 95 m_ ; Apartment;Rue De La Borde 3c; 1018 Lausanne;Bright living room with balcony;Close to public transport;Spacious bedrooms with parquet;CHF 2,500.-;CHF 316 / m_ / year
2 rooms ; 57 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 23; 1007 Lausanne;Quiet neighborhood;Close to shops;Shared laundry facilities;CHF 1,731.-;CHF 364 / m_ / year
2 rooms ; 61 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 17; 1007 Lausanne;Bright living room;Two sunny balconies;Close to the lake;CHF 2,220.-;CHF 437 / m_ / year
2.5 rooms ; 61 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 17; 1007 Lausanne;Bright living room;North-East balcony;Close to the lake;CHF 2,270.-;CHF 447 / m_ / year
1.5 rooms ; 42 m_ ; Apartment;Chemin De Boston 18; 1004 Lausanne;Quiet green surroundings;Close to public transport;Private garden space;CHF 1,610.-;CHF 460 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Chemin Aimé-Steinlen 15; 1004 Lausanne;Spacious terrace access;Private garden oasis;Modern open kitchen;CHF 1,950.-;CHF 390 / m_ / year
2.5 rooms ; 67 m_ ; Apartment;Chemin De Barberine 3; 1004 Lausanne;Cultural hub nearby;Balcony with views;Sport facilities close by;CHF 1,840.-;CHF 330 / m_ / year
1 room ; 41 m_ ; Studio;Rue Cité-Derrière 12; 1005 Lausanne;Historic neighborhood charm;Spacious living area;Modern open kitchen;CHF 1,340.-;CHF 392 / m_ / year
3.5 rooms ; 84 m_ ; Apartment;Avenue Jomini 5; 1004 Lausanne;Modern open kitchen;Balcony for relaxation;Included indoor parking;CHF 2,350.-;CHF 336 / m_ / year
5.5 rooms ; 120 m_ ; Apartment;Avenue De Béthusy 36; 1005 Lausanne;Total renovation;High ceilings, parquet floors;"Near metro M2 ""Ours""";CHF 3,100.-;CHF 310 / m_ / year
2 rooms ; 49 m_ ; Apartment;Avenue De Morges 163; 1004 Lausanne;Close to city center;Cozy balcony space;Modern fitted kitchen;CHF 1,430.-;CHF 350 / m_ / year
3 rooms ; 63 m_ ; Apartment;Chemin De Renens 11; 1004 Lausanne;Complete renovation ongoing;Functional room layout;Optimal natural light;CHF 1,940.-;CHF 370 / m_ / year
1.5 rooms ; 38 m_ ; Apartment;;1012 Lausanne;Bright living room;Large sunny balcony;Access to communal pool;CHF 1,500.-;CHF 474 / m_ / year
3.5 rooms ; 80 m_ ; Penthouse;;1007 Lausanne;Bright living room;Renovated open kitchen;Lake view and tranquility;CHF 2,350.-;CHF 353 / m_ / year
3.5 rooms ; 120 m_ ; Apartment;;1006 Lausanne;Spacious terrace access;Modern open kitchen;Master bedroom with dressing;CHF 4,300.-;CHF 430 / m_ / year
2.5 rooms ; 67 m_ ; Apartment;Chemin De La Grangette 51; 1010 Lausanne;Spacious and bright living room;Modern fully equipped kitchen;Charming terrace for relaxation;CHF 2,202.-;CHF 394 / m_ / year
3.5 rooms ; 77 m_ ; Apartment;Chemin De Pierrefleur 88; 1004 Lausanne;Spacious green surroundings;Bright open living area;Convenient transport access;CHF 2,090.-;CHF 326 / m_ / year
4.5 rooms ; 101 m_ ; Apartment;Chemin De La Vuachère 20; 1012 Lausanne;Equipped kitchen with dishwasher;Balcony with sunny views;Elevator access to all floors;CHF 2,565.-;CHF 305 / m_ / year
3.5 rooms ; 90 m_ ; Apartment;Rue Du Lac 12; 1007 Lausanne;South-facing living space;Open-plan kitchen design;Close to public transport;CHF 3,087.-;CHF 412 / m_ / year
47 m_ ;; Apartment;Route D'oron 15; 1010 Lausanne;Sunny terrace;Open kitchen;Bathroom;CHF 1,400.-;CHF 357 / m_ / year
5.5 rooms ; 157 m_ ; Apartment;Avenue Des Figuiers 41; 1007 Lausanne;Spacious 157 m_ layout;Modern flooring throughout;Terrace and loggia included;CHF 3,950.-;CHF 302 / m_ / year
2 rooms ; 44 m_ ; Apartment;Route De Berne 1; 1010 Lausanne;Close to public transport;Modern equipped kitchen;Vibrant neighborhood shops;CHF 1,830.-;CHF 499 / m_ / year
2.5 rooms ; 59 m_ ; Apartment;;1012 Lausanne;180° panoramic views;Spacious 6m_ balcony;Modern kitchen with Dekton;CHF 2,600.-;CHF 529 / m_ / year
3.5 rooms ; 73 m_ ; Apartment;Chemin de la Gravière 4; 1007 Lausanne;Open-plan kitchen;Cozy balcony space;Nearby cinema & fitness;CHF 2,020.-;CHF 332 / m_ / year
7.5 rooms ; 171 m_ ; Duplex;Avenue De Valmont 12; 1010 Lausanne;Close to public transport;Spacious balconies;Nearby cultural amenities;CHF 3,440.-;CHF 241 / m_ / year
2.5 rooms ; 56 m_ ; Apartment;Avenue Victor-Ruffy 75; 1012 Lausanne;Bright living spaces;Open-plan kitchen;Convenient laundry access;CHF 1,970.-;CHF 422 / m_ / year
4.5 rooms ; 89 m_ ; Apartment;Chemin De Barberine 3; 1004 Lausanne;Cultural hub nearby;Balcony with great views;Fully equipped kitchen;CHF 2,450.-;CHF 330 / m_ / year
5.5 rooms ; 119 m_ ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Architect-designed building;Minergie certified quality;Close to public transport;CHF 3,406.-;CHF 343 / m_ / year
3 rooms ; 83 m_ ; Apartment;Chemin Du Salève 11; 1004 Lausanne;Open kitchen with living room;Balcony with beautiful views;Quiet green surroundings;CHF 2,045.-;CHF 296 / m_ / year
3.5 rooms ; 105 m_ ; Apartment;Chemin Du Salève 13; 1004 Lausanne;Spacious living with balcony;Fully equipped modern kitchen;Quiet green surroundings;CHF 2,380.-;CHF 272 / m_ / year
3 rooms ; 94 m_ ; Apartment;Avenue De France 59; 1004 Lausanne;Dining kitchen with balcony;Parquet living room;5 min to shops & transport;CHF 2,105.-;CHF 269 / m_ / year
3.5 rooms ; 97 m_ ; Apartment;Rue Du Rôtillon 2; 1003 Lausanne;Prime location in Lausanne;Fully equipped new kitchen;New bathroom and shower;CHF 2,930.-;CHF 362 / m_ / year
3 rooms ; 71 m_ ; Apartment;Avenue De France 61; 1004 Lausanne;Dining kitchen with balcony;Two bedrooms with parquet;10 min walk to city center;CHF 1,700.-;CHF 287 / m_ / year
6 rooms ; 150 m_ ; Stepped apartment;Rue Etraz 14; 1003 Lausanne;Stunning lake and Alps view;Modern open kitchen design;Spacious terrace for relaxation;CHF 6,250.-;CHF 500 / m_ / year
3.5 rooms ; 75 m_ ; Apartment;Chemin Guillaume-De-Pierrefleur 11; 1004 Lausanne;Renovated apartment;Charming neighborhood;Balcony & cellar;CHF 2,460.-;CHF 394 / m_ / year
3.5 rooms ; 89 m_ ; Apartment;Rue Edith-Burger 6; 1018 Lausanne;Open kitchen with balcony;Bike storage available;Quick bus access to city;CHF 2,540.-;CHF 342 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;Avenue De Morges 119a; 1004 Lausanne;New building in city center;Includes indoor parking;Open kitchen with balcony access;CHF 2,143.-;CHF 468 / m_ / year
4.5 rooms ;; Apartment;Chemin Des Fauconnières 12; 1012 Lausanne;Fully equipped kitchen;Private bathroom with laundry;Quiet neighborhood with amenities;CHF 3,000.-;—
2.5 rooms ; 63 m_ ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Spacious balcony for relaxation;Close to vibrant amenities;Minergie certified building;CHF 2,310.-;CHF 440 / m_ / year
2.5 rooms ; 75 m_ ; Apartment;;1003 Lausanne;Recently renovated;Close to amenities;Cozy Parisian balcony;CHF 2,040.-;CHF 326 / m_ / year
2.5 rooms ; 84 m_ ; Apartment;Rue Mauborget 10; 1003 Lausanne;Freshly renovated interior;Bright living room with parquet;Open kitchen with modern design;CHF 2,650.-;CHF 379 / m_ / year
4.5 rooms ; 81 m_ ; Apartment;Chemin Du Martinet 22; 1007 Lausanne;Modern equipped kitchen;Central location in city;Stylish renovated interiors;CHF 2,490.-;CHF 369 / m_ / year
1.5 rooms ; 28 m_ ; Studio;Chemin De Bochardon 5; 1012 Lausanne;Private 13 m_ terrace;High-end kitchen appliances;Quiet neighborhood location;CHF 1,350.-;CHF 579 / m_ / year
4.5 rooms ; 76 m_ ; Apartment;Route De Berne 1; 1010 Lausanne;Near public transport & shops;Spacious balcony;Shared laundry room;CHF 2,570.-;CHF 406 / m_ / year
4.5 rooms ; 98 m_ ; Duplex;Rue Du Petit-Saint-Jean 5; 1003 Lausanne;Spacious terrace access;Modern open kitchen;Close to public transport;CHF 3,355.-;CHF 411 / m_ / year
4.5 rooms ; 80 m_ ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Modern kitchen included;Stylish bathroom design;Balcony with stunning views;CHF 2,090.-;CHF 314 / m_ / year
2.5 rooms ; 55 m_ ; Apartment;;1018 Lausanne;Stunning rooftop views;Private covered parking;Eco-friendly neighborhood;CHF 2,625.-;CHF 573 / m_ / year
4.5 rooms ; 127 m_ ; Apartment;Avenue De Chailly 64; 1012 Lausanne;Authentic neighborhood charm;Peaceful gardens nearby;Open kitchen and balcony;CHF 4,102.-;CHF 388 / m_ / year
1.5 rooms ; 33 m_ ; Apartment;Chemin De Champ-Rond 61; 1010 Lausanne;Spacious living area;Private terrace & garden;Quiet neighborhood location;CHF 1,500.-;CHF 545 / m_ / year
2 rooms ; 50 m_ ; Apartment;Avenue Victor-Ruffy 22; 1012 Lausanne;Equipped kitchen;Charming Gottettaz park;Epicurean neighborhood;CHF 1,585.-;CHF 380 / m_ / year
5.5 rooms ; 124 m_ ; Apartment;Avenue Des Bains 8; 1007 Lausanne;Panoramic lake and mountain view;Terrace and sunroom;High-end kitchen;CHF 5,800.-;CHF 561 / m_ / year
3.5 rooms ; 84 m_ ; Apartment;;1007 Lausanne;Contemporary furnished design;Spacious south-facing balcony;Indoor parking with EV option;CHF 3,440.-;CHF 491 / m_ / year
2.5 rooms ; 51 m_ ; Apartment;Avenue De Gratta-Paille 16; 1018 Lausanne;Bright open kitchen;Terrace access from living;Elevator and parking option;CHF 1,650.-;CHF 388 / m_ / year
2 rooms ; 49 m_ ; Apartment;Avenue De Beaulieu 18; 1004 Lausanne;Prime location near transport;Spacious living area;Convenient balcony access;CHF 1,723.-;CHF 422 / m_ / year
1 room ; 25 m_ ; Apartment;Avenue De Valmont 14; 1010 Lausanne;Direct highway access;Balcony with views;Close to public transport;CHF 1,040.-;CHF 499 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Renovated with balcony;Stunning modern kitchen;Beautiful views from living room;CHF 1,890.-;CHF 324 / m_ / year
2.5 rooms ; 61 m_ ; Apartment;Chemin Du Martinet 28; 1007 Lausanne;Renovated with balcony;Stunning modern kitchen;Beautiful views from living room;CHF 1,690.-;CHF 332 / m_ / year
2.5 rooms ; 58 m_ ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Close to city center;Balcony with great views;Indoor parking available;CHF 1,750.-;CHF 362 / m_ / year
4.5 rooms ;; Apartment;Route De Berne 115; 1010 Lausanne;Comfortable furnished flat;Fully equipped kitchens;Private laundry facilities;CHF 3,440.-;—
3.5 rooms ; 85 m_ ; Apartment;Avenue Du Tribunal-Fédéral 25; 1005 Lausanne;Bright living room with views;Modern equipped kitchen;Quiet central location;CHF 3,130.-;CHF 442 / m_ / year
3.5 rooms ; 75 m_ ; Apartment;Avenue De Sévelin 13; 1004 Lausanne;Stylish Minergie building;Close to public transport;Indoor parking available;CHF 2,210.-;CHF 354 / m_ / year
1 room ; 19 m_ ; Studio;Rue Mercerie 16; 1003 Lausanne;Ideal city center location;Well-equipped kitchen;Close to public transport;CHF 1,003.-;CHF 633 / m_ / year
4.5 rooms ; 110 m_ ; Apartment;;1004 Lausanne;Spacious 34m_ terrace;Private laundry in unit;Quality finishes throughout;CHF 3,370.-;CHF 368 / m_ / year
1.5 rooms ; 60 m_ ; Loft;Avenue De La Sallaz 58; 1010 Lausanne;Bright loggia space;Open fully equipped kitchen;Close to public transport;CHF 1,930.-;CHF 386 / m_ / year
1 room ; 20 m_ ; Apartment;Chemin Des Rosiers 3; 1004 Lausanne;Cultural hub nearby;Modern kitchen included;Cozy balcony space;CHF 1,160.-;CHF 696 / m_ / year
1.5 rooms ; 47 m_ ; Apartment;Rue Des Terreaux 12; 1003 Lausanne;Historic building charm;Elegant parquet flooring;High ceilings throughout;CHF 1,620.-;CHF 414 / m_ / year
3 rooms ; 89 m_ ; Apartment;Rue Adrien-Pichard 2; 1003 Lausanne;Open-plan kitchen;Bright living area;Historic building charm;CHF 2,490.-;CHF 336 / m_ / year
4.5 rooms ; 103 m_ ; Apartment;Avenue De La Vallombreuse 52; 1004 Lausanne;Spacious 7m_ balcony;Fully equipped kitchen;Perfect condition, freshly painted;CHF 2,950.-;CHF 344 / m_ / year
3.5 rooms ; 80 m_ ; Apartment;;1000 Lausanne;Bright and spacious layout;Modern shower room;Balcony with great views;CHF 2,655.-;CHF 398 / m_ / year
3.5 rooms ; 84 m_ ; Apartment;;1018 Lausanne;Open kitchen with balcony;Laundry column in bathroom;Quick bus access to city;CHF 2,590.-;CHF 370 / m_ / year
3 rooms ; 68 m_ ; Apartment;Route De Berne 1; 1010 Lausanne;Renovated apartment;Near CHUV & public transport;Balcony & communal laundry;CHF 2,323.-;CHF 410 / m_ / year
;25 m_ ; Apartment;Rue Du Simplon 12; 1006 Lausanne;Close to public transport;Modern fitted kitchen;Bright living area;CHF 1,470.-;CHF 706 / m_ / year
3.5 rooms ; 76 m_ ; Apartment;;1004 Lausanne;Recently renovated;Includes balcony;Private parking option;CHF 3,063.-;CHF 484 / m_ / year
1.5 rooms ; 63 m_ ; Apartment;Rue Des Terreaux 8; 1003 Lausanne;Fully renovated space;Bright living area;Free cellar included;CHF 2,478.-;CHF 472 / m_ / year
2.5 rooms ; 69 m_ ; Apartment;Rue Des Terreaux 4; 1003 Lausanne;Spacious entrance hall;Bright living room;Close to metro station;CHF 2,250.-;CHF 391 / m_ / year
1 room ; 25 m_ ; Studio;Chemin De Montmeillan 19; 1005 Lausanne;Green neighborhood access;Balcony with city views;Equipped modern kitchen;CHF 1,080.-;CHF 518 / m_ / year
3.5 rooms ; 78 m_ ; Apartment;Rue Des Terreaux 15; 1003 Lausanne;Lausanne city center;Public transport nearby;Equipped kitchen;CHF 2,270.-;CHF 349 / m_ / year
2 rooms ;; Furnished apartment;;1004 Lausanne;Fully furnished;Central location;Stunning view;CHF 1,000.-;—
1 room ; 20 m_ ; Studio;Rue De La Louve 2; 1003 Lausanne;Near public transport & shops;Kitchen and bathroom;Male clients only;CHF 850.-;CHF 510 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Route Du Pavement 121; 1018 Lausanne;Large terrace and garden;Underground parking and cellar;Quiet location, high-end finishes;CHF 2,290.-;CHF 458 / m_ / year
3.5 rooms ; 73 m_ ; Apartment;Chemin Du Devin 63; 1012 Lausanne;Quiet and green area;Open kitchen & living room;Parking options available;CHF 1,960.-;CHF 322 / m_ / year
